,Company,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,OpSys,Weight,Price_euros
0,1,13.3,23,1,40,2.3,8.0,10,2,8,1.37,1339.69
1,1,13.3,1,1,40,1.8,8.0,9,2,8,1.34,898.94
2,7,15.6,8,1,46,2.5,8.0,18,2,0,1.86,575.0
3,1,15.4,25,1,54,2.7,16.0,27,0,8,1.83,2537.45
4,1,13.3,23,1,40,3.1,8.0,18,2,8,1.37,1803.6
5,0,15.6,0,0,11,3.0,4.0,11,0,6,2.1,400.0
6,1,15.4,25,1,54,2.2,16.0,13,2,7,2.04,2139.97
7,1,13.3,1,1,40,1.8,8.0,13,2,8,1.34,1158.7
8,2,14.0,8,1,70,1.8,16.0,27,3,6,1.3,1495.0
9,0,14.0,15,1,53,1.6,8.0,18,2,6,1.6,770.0
10,7,15.6,0,1,46,2.5,4.0,11,2,0,1.86,393.9
11,7,15.6,8,1,36,2.0,4.0,11,2,0,1.86,344.99
12,1,15.4,25,1,54,2.8,16.0,18,0,8,1.83,2439.97
13,4,15.6,8,1,36,2.0,4.0,18,0,6,2.2,498.9
14,1,12.0,22,1,33,1.2,8.0,18,2,8,0.92,1262.4
15,1,13.3,23,1,40,2.3,8.0,18,2,8,1.37,1518.55
16,4,15.6,8,1,62,2.7,8.0,18,0,6,2.2,745.0
17,1,15.4,25,1,54,2.9,16.0,27,0,8,1.83,2858.0
18,10,15.6,8,1,38,2.4,8.0,15,3,0,2.2,499.0
19,4,13.3,13,1,53,1.6,8.0,10,2,6,1.22,979.0
20,2,11.6,0,1,16,1.44,2.0,4,2,6,0.98,191.9
21,10,15.6,15,1,47,2.5,8.0,20,3,6,2.5,999.0
22,7,15.6,0,0,79,1.5,4.0,11,0,0,1.86,258.0
23,4,13.3,7,1,53,1.6,8.0,18,2,6,1.62,819.0
24,7,15.6,8,1,70,1.8,8.0,18,2,6,1.91,659.0
25,4,15.6,0,1,36,2.0,4.0,15,2,6,2.3,418.64
26,1,13.3,1,1,40,1.6,8.0,9,2,7,1.35,1099.0
27,4,15.6,8,1,53,1.6,8.0,18,0,6,2.2,800.0
28,4,15.6,8,1,71,1.9,8.0,25,2,6,1.88,1298.0
29,7,17.3,8,1,53,1.6,8.0,15,3,6,2.5,896.0
30,3,15.6,8,1,15,1.44,4.0,7,2,6,1.89,244.99
31,2,14.0,0,0,77,1.5,2.0,4,0,6,1.65,199.0
32,7,17.3,8,0,7,2.5,4.0,11,0,6,2.71,439.0
33,4,13.3,35,1,70,1.8,16.0,27,2,6,1.2,1869.0
34,1,13.3,1,1,40,1.6,8.0,13,2,7,1.35,998.0
35,10,14.0,0,1,22,1.1,4.0,7,2,6,1.44,249.0
36,0,15.6,0,1,39,2.7,4.0,15,2,1,2.1,367.0
37,4,17.3,15,1,53,1.6,8.0,20,0,6,2.8,979.0
38,7,15.6,0,1,46,2.5,4.0,15,2,6,1.86,488.69
39,7,15.6,8,1,53,1.6,8.0,18,3,6,2.1,879.0
40,2,15.6,8,1,36,2.0,4.0,15,2,1,2.0,389.0
41,4,15.6,15,1,66,2.8,16.0,24,3,6,2.65,1499.0
42,2,15.6,0,1,46,2.5,8.0,15,3,1,2.3,522.99
43,0,15.6,15,1,53,1.6,4.0,18,2,6,2.2,682.0
44,4,17.3,7,1,53,1.6,12.0,15,3,6,2.77,999.0
45,1,13.3,23,1,40,2.0,8.0,18,2,8,1.37,1419.0
46,10,15.6,0,1,36,2.0,4.0,10,2,0,2.2,369.0
47,2,17.3,8,0,89,3.0,8.0,24,0,6,3.2,1299.0
48,4,15.6,8,1,46,2.5,4.0,18,0,6,2.3,639.0
49,2,17.3,0,1,87,1.1,4.0,15,3,6,2.8,466.0
50,10,10.1,28,1,17,1.44,4.0,7,2,2,0.69,319.0
51,0,15.6,15,1,70,1.8,8.0,18,3,6,2.2,841.0
52,7,15.6,8,0,7,2.5,4.0,18,0,6,1.86,398.49
53,7,13.3,8,1,70,1.8,8.0,27,2,6,1.49,1103.0
54,0,15.6,0,1,38,2.4,4.0,15,2,6,2.4,384.0
55,4,15.6,8,1,70,1.8,8.0,18,0,6,2.13,767.8
56,7,15.6,8,1,36,2.0,4.0,10,2,6,1.91,439.0
57,2,15.6,0,1,46,2.5,4.0,18,2,6,2.0,586.19
58,11,17.3,8,1,66,2.8,16.0,30,3,6,2.43,2449.0
59,2,15.6,8,1,36,2.0,4.0,18,2,1,2.0,415.0
60,4,17.3,8,1,70,1.8,16.0,30,0,6,2.8,1299.0
61,4,14.0,8,1,53,1.6,8.0,18,2,6,1.7,879.0
62,10,14.0,15,1,39,2.7,8.0,18,2,0,1.7,599.0
63,2,14.0,8,1,53,1.6,8.0,18,2,6,1.4,941.0
64,7,15.6,8,1,46,2.5,8.0,18,2,6,1.86,690.0
65,2,15.6,8,1,66,2.8,16.0,27,3,6,1.8,1983.0
66,7,15.6,0,1,36,2.0,4.0,11,0,6,1.86,438.69
67,7,14.0,0,1,21,1.6,4.0,6,2,6,1.44,229.0
68,10,15.6,8,1,46,2.5,4.0,15,2,6,1.9,549.0
