,Company,TypeName,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,GpuType,OpSys,Weight,Price_euros
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3GHz,8GB,128GB SSD,Intel,Iris Plus Graphics,macOS,1.37kg,1339.69
1,Apple,Ultrabook,13.3,1440x900,Intel,Core i5,1.8GHz,8GB,128GB Flash Storage,Intel,HD Graphics,macOS,1.34kg,898.94
2,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,No OS,1.86kg,575.0
3,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.7GHz,16GB,512GB SSD,AMD,Radeon Pro,macOS,1.83kg,2537.45
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,3.1GHz,8GB,256GB SSD,Intel,Iris Plus Graphics,macOS,1.37kg,1803.6
5,Acer,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,500GB HDD,AMD,Radeon,Windows 10,2.1kg,400.0
6,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.2GHz,16GB,256GB Flash Storage,Intel,Iris Pro,Mac OS X,2.04kg,2139.97
7,Apple,Ultrabook,13.3,1440x900,Intel,Core i5,1.8GHz,8GB,256GB Flash Storage,Intel,HD Graphics,macOS,1.34kg,1158.7
8,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Nvidia,GeForce,Windows 10,1.3kg,1495.0
9,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.6kg,770.0
10,HP,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,4GB,500GB HDD,Intel,HD Graphics,No OS,1.86kg,393.9
11,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,Intel,HD Graphics,No OS,1.86kg,344.99
12,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.8GHz,16GB,256GB SSD,AMD,Radeon Pro,macOS,1.83kg,2439.97
13,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,256GB SSD,AMD,Radeon R5,Windows 10,2.2kg,498.9
14,Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel,Core M m3,1.2GHz,8GB,256GB SSD,Intel,HD Graphics,macOS,0.92kg,1262.4
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3GHz,8GB,256GB SSD,Intel,Iris Plus Graphics,macOS,1.37kg,1518.55
16,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,AMD,Radeon R5,Windows 10,2.2kg,745.0
17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.9GHz,16GB,512GB SSD,AMD,Radeon Pro,macOS,1.83kg,2858.0
18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4GHz,8GB,1TB HDD,Nvidia,GeForce,No OS,2.2kg,499.0
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD,Intel,UHD Graphics,Windows 10,1.22kg,979.0
20,Asus,Netbook,11.6,1366x768,Intel,Atom x5-Z8350,1.44GHz,2GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,0.98kg,191.9
21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.5kg,999.0
22,HP,Notebook,15.6,1366x768,AMD,E-Series E2-9000e,1.5GHz,4GB,500GB HDD,AMD,Radeon,No OS,1.86kg,258.0
23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.62kg,819.0
24,HP,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.91kg,659.0
25,Dell,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.3kg,418.64
26,Apple,Ultrabook,13.3,1440x900,Intel,Core i5,1.6GHz,8GB,128GB Flash Storage,Intel,HD Graphics,Mac OS X,1.35kg,1099.0
27,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,2.2kg,800.0
28,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9GHz,8GB,256GB SSD +  256GB SSD,Intel,UHD Graphics,Windows 10,1.88kg,1298.0
29,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,Nvidia,GeForce,Windows 10,2.5kg,896.0
30,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel,Atom x5-Z8300,1.44GHz,4GB,64GB Flash Storage,Intel,HD,Windows 10,1.89kg,244.99
31,Asus,Notebook,14.0,1366x768,AMD,E-Series E2-6110,1.5GHz,2GB,32GB Flash Storage,AMD,Radeon,Windows 10,1.65kg,199.0
32,HP,Notebook,17.3,Full HD 1920x1080,AMD,A6-Series 9220,2.5GHz,4GB,500GB HDD,AMD,Radeon,Windows 10,2.71kg,439.0
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.2kg,1869.0
34,Apple,Ultrabook,13.3,1440x900,Intel,Core i5,1.6GHz,8GB,256GB Flash Storage,Intel,HD Graphics,Mac OS X,1.35kg,998.0
35,Lenovo,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,64GB Flash Storage,Intel,HD Graphics,Windows 10,1.44kg,249.0
36,Acer,Notebook,15.6,1366x768,Intel,Core i3 7130U,2.7GHz,4GB,1TB HDD,Intel,HD Graphics,Linux,2.1kg,367.0
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.8kg,979.0
38,HP,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,1.86kg,488.69
39,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce 930MX,Windows 10,2.1kg,879.0
40,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Linux,2kg,389.0
